,City ID,City Name,Country,Longitudes,Latitudes,Temperature (F),Humidity (%),Cloudiness,Wind Speed (mph)
0,4132093,Springdale,US,-94.13,36.19,46.0,100,90,10.29
1,2110227,Butaritari,KI,172.79,3.07,83.07,71,100,2.48
2,5880568,Bethel,US,-161.76,60.79,24.82,92,20,5.82
3,153209,Moshi,TZ,37.34,-3.36,82.4,61,75,13.87
4,2514651,Los Llanos de Aridane,ES,-17.92,28.66,72.9,73,20,2.24
5,3049013,Lajoskomarom,HU,18.34,46.84,66.85,53,42,5.46
6,2729907,Longyearbyen,NO,15.63,78.22,21.2,85,90,5.82
7,3372707,Ribeira Grande,PT,-28.7,38.52,73.4,83,20,9.17
8,3577154,Oranjestad,AW,-70.03,12.52,86.0,74,40,18.34
9,2077895,Alice Springs,AU,133.88,-23.7,80.6,24,36,10.29
10,6167817,Torbay,CA,-52.73,47.66,49.51,87,75,11.41
11,2155415,New Norfolk,AU,147.06,-42.78,52.38,46,26,19.46
12,1174451,Keti Bandar,PK,67.45,24.14,85.06,57,40,5.53
13,2069194,Jamestown,AU,138.6,-33.21,48.42,76,55,18.54
14,64013,Bosaso,SO,49.18,11.28,84.2,70,100,8.05
15,3576994,Cockburn Town,TC,-71.14,21.46,83.41,75,100,17.81
16,2295517,Savelugu,GH,-0.83,9.63,93.65,41,83,6.46
17,3906765,Quime,BO,-67.22,-16.98,65.91,46,22,4.27
18,3936456,Lima,PE,-77.04,-12.06,64.4,77,75,2.24
19,6165406,Thompson,CA,-97.86,55.74,32.0,88,90,3.36
20,3448903,Sao Joao da Barra,BR,-41.05,-21.64,85.06,55,40,2.24
21,3947322,Junin,PE,-71.58,-16.45,68.0,14,0,5.82
22,5882953,Aklavik,CA,-135.01,68.22,17.6,92,90,4.7
23,6138501,Saint-Augustin,CA,-73.98,45.63,44.44,93,75,3.36
24,4030556,Rikitea,PF,-134.97,-23.12,71.85,84,100,21.63
25,2075265,Busselton,AU,115.35,-33.64,54.64,65,0,9.84
26,2027044,Batagay,RU,134.64,67.65,0.59,92,93,2.91
27,2294915,Takoradi,GH,-1.75,4.89,81.72,81,70,15.32
28,964432,Port Alfred,ZA,26.89,-33.59,69.01,69,100,5.01
29,2287970,Guiberoua,CI,-6.17,6.24,89.08,55,73,1.54
30,2032614,Baruun-Urt,MN,113.28,46.68,30.45,53,0,15.35
31,3874787,Punta Arenas,CL,-70.91,-53.16,46.2,65,100,6.93
